input,label
Problem: 6/18 x 2/5 | Student Answer: 1/3,conv-a
Problem: 6/18 x 2/5 | Student Answer: 5/6,conv-b
Problem: 6/18 x 2/5 | Student Answer: 8/15,conv-c
Problem: 6/18 x 2/5 | Student Answer: 4/23,conv-d
Problem: 6/18 x 2/5 | Student Answer: -2/15,po-a
Problem: 6/18 x 2/5 | Student Answer: 7 1/2,po-b
Problem: 6/18 x 2/5 | Student Answer: 4/13,po-c
Problem: 6/18 x 2/5 | Student Answer: 4/45,po-d
Problem: 6/18 x 2/5 | Student Answer: 12/23,pf-a
Problem: 6/18 x 2/5 | Student Answer: 2/3,pf-b
Problem: 6/18 x 2/5 | Student Answer: 4/45,pf-c
Problem: 6/18 x 2/5 | Student Answer: 6/23,pf-d
Problem: 6/18 x 2/5 | Student Answer: 8/13,pf-e
Problem: 6/18 x 2/5 | Student Answer: 1/5,a
Problem: 4/18 - 1/7 | Student Answer: 23/25,conv-a
Problem: 4/18 - 1/7 | Student Answer: 1/7,conv-b
Problem: 4/18 - 1/7 | Student Answer: 11/63,conv-c
Problem: 4/18 - 1/7 | Student Answer: 3/11,conv-d
Problem: 4/18 - 1/7 | Student Answer: -5/63,po-a
Problem: 4/18 - 1/7 | Student Answer: 12 3/5,po-b
Problem: 4/18 - 1/7 | Student Answer: 2/63,po-c
Problem: 4/18 - 1/7 | Student Answer: 5/126,po-d
Problem: 4/18 - 1/7 | Student Answer: 1/5,pf-a
Problem: 4/18 - 1/7 | Student Answer: 5/18,pf-b
Problem: 4/18 - 1/7 | Student Answer: 1 3/25,pf-c
Problem: 4/18 - 1/7 | Student Answer: 5/7,pf-d
Problem: 4/18 - 1/7 | Student Answer: 1/42,pf-e
Problem: 4/18 - 1/7 | Student Answer: 4/63,a
Problem: 2 1/2 + 2/7 | Student Answer: 1/1,conv-a
Problem: 2 1/2 + 2/7 | Student Answer: 2/7,conv-b
Problem: 2 1/2 + 2/7 | Student Answer: 1/1,conv-c
Problem: 2 1/2 + 2/7 | Student Answer: 1/3,conv-d
Problem: 2 1/2 + 2/7 | Student Answer: -2 11/14,po-a
Problem: 2 1/2 + 2/7 | Student Answer: 14/39,po-b
Problem: 2 1/2 + 2/7 | Student Answer: 5/7,po-c
Problem: 2 1/2 + 2/7 | Student Answer: 1/2,po-d
Problem: 2 1/2 + 2/7 | Student Answer: 24 1/2,pf-a
Problem: 2 1/2 + 2/7 | Student Answer: 3 1/2,pf-b
Problem: 2 1/2 + 2/7 | Student Answer: 1 17/18,pf-c
Problem: 2 1/2 + 2/7 | Student Answer: 5/1,pf-d
Problem: 2 1/2 + 2/7 | Student Answer: -1 2/5,pf-e
Problem: 2 1/2 + 2/7 | Student Answer: 2 3/5,a
Problem: 11/20 ÷ 3/5 | Student Answer: 11/20,conv-a
Problem: 11/20 ÷ 3/5 | Student Answer: 33/100,conv-b
Problem: 11/20 ÷ 3/5 | Student Answer: 2 23/100,conv-c
Problem: 11/20 ÷ 3/5 | Student Answer: 8/25,conv-d
Problem: 11/20 ÷ 3/5 | Student Answer: -11/12,po-a
Problem: 11/20 ÷ 3/5 | Student Answer: 1 1/11,po-b
Problem: 11/20 ÷ 3/5 | Student Answer: 14/25,po-c
Problem: 11/20 ÷ 3/5 | Student Answer: 11/12,po-d
Problem: 11/20 ÷ 3/5 | Student Answer: 1 8/25,pf-a
Problem: 11/20 ÷ 3/5 | Student Answer: 1 13/20,pf-b
Problem: 11/20 ÷ 3/5 | Student Answer: 7/50,pf-c
Problem: 11/20 ÷ 3/5 | Student Answer: 11/25,pf-d
Problem: 11/20 ÷ 3/5 | Student Answer: 14/15,pf-e
Problem: 11/20 ÷ 3/5 | Student Answer: 11/13,a
Problem: 5/16 ÷ 4/6 | Student Answer: 5/24,conv-a
Problem: 5/16 ÷ 4/6 | Student Answer: 5/24,conv-b
Problem: 5/16 ÷ 4/6 | Student Answer: 7/8,conv-c
Problem: 5/16 ÷ 4/6 | Student Answer: 1/22,conv-d
Problem: 5/16 ÷ 4/6 | Student Answer: -15/32,po-a
Problem: 5/16 ÷ 4/6 | Student Answer: 2 2/15,po-b
Problem: 5/16 ÷ 4/6 | Student Answer: 9/22,po-c
Problem: 5/16 ÷ 4/6 | Student Answer: 15/32,po-d
Problem: 5/16 ÷ 4/6 | Student Answer: 10/11,pf-a
Problem: 5/16 ÷ 4/6 | Student Answer: 1 1/4,pf-b
Problem: 5/16 ÷ 4/6 | Student Answer: 3/32,pf-c
Problem: 5/16 ÷ 4/6 | Student Answer: 5/22,pf-d
Problem: 5/16 ÷ 4/6 | Student Answer: 9/10,pf-e
Problem: 5/16 ÷ 4/6 | Student Answer: 1/2,a
Problem: 8/15 - 6/12 | Student Answer: 23/30,conv-a
Problem: 8/15 - 6/12 | Student Answer: 15 1/8,conv-b
Problem: 8/15 - 6/12 | Student Answer: 1 2/27,conv-c
Problem: 8/15 - 6/12 | Student Answer: 2/3,conv-d
Problem: 8/15 - 6/12 | Student Answer: -1/30,po-a
Problem: 8/15 - 6/12 | Student Answer: 30/1,po-b
Problem: 8/15 - 6/12 | Student Answer: 4/15,po-c
Problem: 8/15 - 6/12 | Student Answer: 7/90,po-d
Problem: 8/15 - 6/12 | Student Answer: 4 2/3,pf-a
Problem: 8/15 - 6/12 | Student Answer: 14/15,pf-b
Problem: 8/15 - 6/12 | Student Answer: 2/27,pf-c
Problem: 8/15 - 6/12 | Student Answer: 2/15,pf-d
Problem: 8/15 - 6/12 | Student Answer: 1/90,pf-e
Problem: 8/15 - 6/12 | Student Answer: 1/15,a
Problem: 1 2/3 - 7/10 | Student Answer: 1 2/3,conv-a
Problem: 1 2/3 - 7/10 | Student Answer: 3 1/5,conv-b
Problem: 1 2/3 - 7/10 | Student Answer: 1 2/13,conv-c
Problem: 1 2/3 - 7/10 | Student Answer: 2/7,conv-d
Problem: 1 2/3 - 7/10 | Student Answer: -29/30,po-a
Problem: 1 2/3 - 7/10 | Student Answer: 1 1/29,po-b
Problem: 1 2/3 - 7/10 | Student Answer: 1 1/6,po-c
Problem: 1 2/3 - 7/10 | Student Answer: 2/5,po-d
Problem: 1 2/3 - 7/10 | Student Answer: 12/13,pf-a
Problem: 1 2/3 - 7/10 | Student Answer: 1 1/5,pf-b
Problem: 1 2/3 - 7/10 | Student Answer: 50/91,pf-c
Problem: 1 2/3 - 7/10 | Student Answer: 1 1/5,pf-d
Problem: 1 2/3 - 7/10 | Student Answer: -1/15,pf-e
Problem: 1 2/3 - 7/10 | Student Answer: 14/15,a
Problem: 3/4 x 5 4/6 | Student Answer: 3/4,conv-a
Problem: 3/4 x 5 4/6 | Student Answer: 9/68,conv-b
Problem: 3/4 x 5 4/6 | Student Answer: 9 11/12,conv-c
Problem: 3/4 x 5 4/6 | Student Answer: -3 1/10,conv-d
Problem: 3/4 x 5 4/6 | Student Answer: -4 1/4,po-a
Problem: 3/4 x 5 4/6 | Student Answer: 4/17,po-b
Problem: 3/4 x 5 4/6 | Student Answer: 15 1/2,po-c
Problem: 3/4 x 5 4/6 | Student Answer: 1 13/24,po-d
Problem: 3/4 x 5 4/6 | Student Answer: 10 1/5,pf-a
Problem: 3/4 x 5 4/6 | Student Answer: 25 1/2,pf-b
Problem: 3/4 x 5 4/6 | Student Answer: 1 13/24,pf-c
Problem: 3/4 x 5 4/6 | Student Answer: 3/10,pf-d
Problem: 3/4 x 5 4/6 | Student Answer: -18 1/2,pf-e
Problem: 3/4 x 5 4/6 | Student Answer: 4 1/2,a
Problem: 5/16 ÷ 5 2/15 | Student Answer: 3 5/31,conv-a
Problem: 5/16 ÷ 5 2/15 | Student Answer: 1 29/48,conv-b
